,Fold,Accuracy (%),Complexity,Explanation
0,$1$,$100.00$,$4$,$mem=1 \leftarrow ENSMUSG00000000031 \land ENSMUSG00000000247 \land ENSMUSG00000000253 \land \neg ENSMUSG00000000301$
1,$1$,$66.67$,$4$,$mem=-1 \leftarrow ENSMUSG00000000037 \lor \neg ENSMUSG00000000157 \lor \neg ENSMUSG00000000167 \lor \neg ENSMUSG00000000317$
2,$2$,$100.00$,$3$,$mem=1 \leftarrow ENSMUSG00000000028 \land ENSMUSG00000000402 \land \neg ENSMUSG00000000346$
3,$2$,$66.67$,$4$,$mem=-1 \leftarrow \neg ENSMUSG00000000126 \lor \neg ENSMUSG00000000215 \lor \neg ENSMUSG00000000339 \lor \neg ENSMUSG00000000560$
4,$3$,$83.33$,$3$,$mem=1 \leftarrow ENSMUSG00000000171 \land ENSMUSG00000000244 \land \neg ENSMUSG00000000296$
5,$3$,$66.67$,$3$,$mem=-1 \leftarrow ENSMUSG00000000532 \lor \neg ENSMUSG00000000320 \lor \neg ENSMUSG00000000374$
6,$4$,$16.67$,$3$,$mem=1 \leftarrow ENSMUSG00000000489 \land \neg ENSMUSG00000000167 \land \neg ENSMUSG00000000184$
7,$4$,$66.67$,$4$,$mem=-1 \leftarrow ENSMUSG00000000167 \lor ENSMUSG00000000244 \lor \neg ENSMUSG00000000001 \lor \neg ENSMUSG00000000378$
8,$5$,$66.67$,$4$,$mem=1 \leftarrow ENSMUSG00000000359 \land ENSMUSG00000000552 \land \neg ENSMUSG00000000120 \land \neg ENSMUSG00000000263$
9,$5$,$66.67$,$4$,$mem=-1 \leftarrow ENSMUSG00000000374 \lor \neg ENSMUSG00000000078 \lor \neg ENSMUSG00000000359 \lor \neg ENSMUSG00000000552$
10,$6$,$66.67$,$4$,$mem=1 \leftarrow ENSMUSG00000000094 \land ENSMUSG00000000248 \land ENSMUSG00000000346 \land \neg ENSMUSG00000000365$
11,$6$,$66.67$,$4$,$mem=-1 \leftarrow ENSMUSG00000000037 \lor ENSMUSG00000000365 \lor \neg ENSMUSG00000000125 \lor \neg ENSMUSG00000000568$
12,$7$,$83.33$,$3$,$mem=1 \leftarrow ENSMUSG00000000127 \land \neg ENSMUSG00000000275 \land \neg ENSMUSG00000000385$
13,$7$,$100.00$,$4$,$mem=-1 \leftarrow ENSMUSG00000000253 \lor ENSMUSG00000000275 \lor \neg ENSMUSG00000000183 \lor \neg ENSMUSG00000000435$
14,$8$,$66.67$,$3$,$mem=1 \leftarrow ENSMUSG00000000402 \land ENSMUSG00000000409 \land ENSMUSG00000000567$
15,$8$,$100.00$,$4$,$mem=-1 \leftarrow \neg ENSMUSG00000000182 \lor \neg ENSMUSG00000000308 \lor \neg ENSMUSG00000000402 \lor \neg ENSMUSG00000000411$
16,$9$,$83.33$,$4$,$mem=1 \leftarrow ENSMUSG00000000037 \land ENSMUSG00000000182 \land ENSMUSG00000000295 \land ENSMUSG00000000568$
17,$9$,$66.67$,$5$,$mem=-1 \leftarrow ENSMUSG00000000094 \lor ENSMUSG00000000563 \lor \neg ENSMUSG00000000031 \lor \neg ENSMUSG00000000202 \lor \neg ENSMUSG00000000409$
18,$10$,$83.33$,$5$,$mem=1 \leftarrow ENSMUSG00000000031 \land ENSMUSG00000000204 \land ENSMUSG00000000346 \land ENSMUSG00000000416 \land \neg ENSMUSG00000000028$
19,$10$,$83.33$,$3$,$mem=-1 \leftarrow ENSMUSG00000000120 \lor ENSMUSG00000000532 \lor ENSMUSG00000000544$
